,id,created,title,url,latestprice,lowprice,notes
0,1,2021-10-16 21:10:26,Gorilla pre workout,https://www.amazon.com/dp/B0919XS2W7,49.0,49.0,
1,2,2021-10-16 21:15:04,Nike Air Jordan-1,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99,254.99,
2,3,2021-10-17 19:58:13,Zinus Bed Frame,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,70.07,70.07,Zinus bed frame
3,4,2021-10-20 20:26:49,Google Pixel 4a,https://www.amazon.com/gp/product/B095PY85HG?pf_rd_r=WJMJBBX15GMH8FDQ660W&pf_rd_p=8fe9b1d0-f378-4356-8bb8-cada7525eadd&pd_rd_r=070dbab9-f0f1-4627-8e99-25b16f9ab6fc&pd_rd_w=E3fJe&pd_rd_wg=VjdY7&ref_=pd_gw_unk&th=1,349.99,349.99,
4,5,2021-10-20 20:28:32,Samsuny A52 5G,https://www.amazon.com/Samsung-Factory-Unlocked-Smartphone-Resistant/dp/B08XX4P7LB/ref=sr_1_2?dchild=1&keywords=samsung%2Ba52%2B5g&qid=1634761661&sr=8-2&th=1,499.99,499.99,
5,6,2021-10-20 20:29:23,Oral B Toothbrush,https://www.amazon.com/Oral-B-Rechargeable-Toothbrush-Intelligence-Replacement/dp/B084PPQ7NF?ref_=Oct_DLandingS_D_6c451c90_63&smid=ATVPDKIKX0DER,99.99,99.99,
6,7,2021-10-20 20:29:49,Oral-B iO Series 7 Electric Toothbrush,https://www.amazon.com/dp/B08H8BQMN5/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B08H8BQMN5&pd_rd_w=yQRXL&pf_rd_p=887084a2-5c34-4113-a4f8-b7947847c308&pd_rd_wg=dDy89&pf_rd_r=YSVYKSMMHFSSKZD3A09X&pd_rd_r=683d5259-f44d-4858-bd83-7240b1e6d889&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExSVVIRVJFR1AzWjlJJmVuY3J5cHRlZElkPUEwMjMzNjYwMUdWT0JHTE42TUZVVCZlbmNyeXB0ZWRBZElkPUExMDE2MjEwNjdVT0JBN0k4TjNQJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,174.38,174.38,
7,8,2021-10-20 20:31:35,Achiou Winter Touchscreen Gloves,https://www.amazon.com/Achiou-Winter-Touchscreen-Gloves-Texting/dp/B077MLRYNN/ref=sr_1_5?dchild=1&keywords=winter%2Bgloves&qid=1634761824&s=sporting-goods&sr=1-5&th=1&psc=1,9.99,9.99,
8,9,2021-10-20 20:35:22,Wesco circular cutter,https://www.amazon.com/Circular-Compact-Cutting-Diamond-WS3454U/dp/B08BFG9GL9?ref_=Oct_d_old_d_328182011_1&pd_rd_w=LCn3h&pf_rd_p=3a9c4f4a-c01c-4bbb-90b0-d9fb6de0de6f&pf_rd_r=161BY6ABVW8D853NG9MR&pd_rd_r=7eada7de-74e2-43f5-a705-32a47ae7ee87&pd_rd_wg=7CX4u,49.99,49.99,
9,10,2021-10-20 20:36:40,Dewalt 20V Drill combo,https://www.amazon.com/DEWALT-20V-Cordless-Drill-Combo/dp/B08LRD4K3G?ref_=Oct_d_omg_d_328182011&pd_rd_w=TTBHs&pf_rd_p=91d04f53-a5e6-477b-803f-81835dc5f501&pf_rd_r=161BY6ABVW8D853NG9MR&pd_rd_r=7eada7de-74e2-43f5-a705-32a47ae7ee87&pd_rd_wg=7CX4u&pd_rd_i=B08LRD4K3G,219.0,219.0,
10,11,2021-10-20 20:37:37,Depuley Farmhouse Ceiling Industrial lighting,https://www.amazon.com/Depuley-Farmhouse-Ceiling-Industrial-lighting/dp/B08YDG48WJ/ref=sr_1_2?_encoding=UTF8&c=ts&dchild=1&keywords=Lighting+%26+Ceiling+Fans&qid=1634762226&s=lamps-light&sr=1-2&ts_id=495224,229.99,229.99,
11,12,2021-10-20 20:38:46,Amazon Essentials Quarter Zip Fleece,https://www.amazon.com/Amazon-Essentials-Quarter-Zip-Fleece-Classic/dp/B085YX3QGD?ref_=ast_sto_dp&th=1&psc=1,22.9,22.9,
12,13,2021-10-20 20:39:36,Columbia Butte Hoodie,https://www.amazon.com/Columbia-Butte-Insulated-Hooded-Jacket/dp/B07KPD7MWZ/ref=sr_1_4_sspa?dchild=1&keywords=columbia+jacket+men&qid=1634762338&sr=8-4-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyMVdBOUVZNENTNTVMJmVuY3J5cHRlZElkPUEwOTI5NTY5MkNLOTU4N0hKQjMxNCZlbmNyeXB0ZWRBZElkPUEwMzQ5MTE0MTM3QUw4TE41VTJETSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,160.0,160.0,
13,14,2021-10-20 20:40:13,Eddie Bauer Winter Jacket,https://www.amazon.com/dp/B074Z79V3B/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B074Z79V3B&pd_rd_w=7Nfqe&pf_rd_p=54ed5474-54a8-4c7f-a88a-45f748d18166&pd_rd_wg=nFsGj&pf_rd_r=FHGG1H63A9B0TNKH63CT&pd_rd_r=469cd172-0359-4205-8394-ee696019869c&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzS1UxWlNKVjRBVlNJJmVuY3J5cHRlZElkPUEwODUwNjI2MVNMOEdaVjNQVTREOCZlbmNyeXB0ZWRBZElkPUEwODMwMDk3MjRPVk1PWEpIVVZXTSZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,164.99,164.99,
14,15,2021-10-20 20:42:36,Womens Crisscross Halter Backless Strappy,https://www.amazon.com/Womens-Crisscross-Halter-Backless-Strappy/dp/B091YM9C27/ref=AFVLPSU21_6?th=1&psc=1,18.99,18.99,
15,16,2021-10-20 20:43:18,Jackcube Design Hair Dryer,https://www.amazon.com/gp/product/B071PB9ZV9/ref=AFVLPSU21_13,35.9,35.9,
16,17,2021-10-20 20:46:14,"Zevro /GAT201C Indispensable Dry Food Dispenser, Dual Control, White/Chrome",https://www.amazon.com/Zevro-KCH-06123-Control-Dispenser-Chrome/dp/B00ANJDBWM/ref=AFVLPSU21_16?th=1,49.99,49.99,
17,18,2021-10-20 20:47:26,Danner Women's Mountain Light Cascade Hiking Boot,https://www.amazon.com/dp/B00K230DIY/ref=s9_acsd_al_bw_c2_x_3_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-20&pf_rd_r=FPNWBGAHDCNKHQ0TXTMW&pf_rd_t=101&pf_rd_p=b7403e51-e02b-4138-aec2-34169ee425bd&pf_rd_i=23560256011&th=1&psc=1,359.95,359.95,
18,19,2021-10-20 20:48:11,Loeffler Randall Women's Gia Knee High Boot,https://www.amazon.com/Loeffler-Randall-GIA-CRL/dp/B07B4SVXL7/ref=lp_23560256011_1_6?dchild=1&th=1&psc=1,695.0,695.0,
19,20,2021-10-20 20:49:33,Bedside-Lamp-USB-port-Nightstand,https://www.amazon.com/Bedside-Lamp-USB-port-Nightstand/dp/B087CDBKCH/ref=lp_23551258011_1_2?dchild=1,29.99,29.99,
20,21,2021-10-20 20:50:12,Floor-Lamp-Lighting-Reading-Adjustable,https://www.amazon.com/Floor-Lamp-Lighting-Reading-Adjustable/dp/B089SJVP52/ref=lp_23551258011_1_6?dchild=1,59.99,59.99,
21,22,2021-10-20 20:50:40,Safavieh FLL4020A Home Collection Morrison Brass Gold and Black Side Table Floor Lamp,https://www.amazon.com/dp/B07J4Y87PG/ref=sbl_dpx_lighting-floor-lamps_B08CTVGV72_0,115.49,115.49,
22,23,2021-10-20 20:51:38,OUTMASTER-Rolling-Stool-Brown,https://www.amazon.com/OUTMASTER-Rolling-Stool-Brown/dp/B08241R385/?_encoding=UTF8&pd_rd_w=dftIC&pf_rd_p=9c6a6193-3992-4a38-b260-9f91459a44ec&pf_rd_r=5F22YQBS180N0NQ9DBA8&pd_rd_r=d0e36cc4-d651-4e08-93c4-c6626cbb2fef&pd_rd_wg=hWUbA&ref_=pd_gw_hlp13n_t4imv2&th=1,82.99,82.99,
23,24,2021-10-20 20:52:18,Hasbro Gaming Monopoly Crossing Horizons,https://www.amazon.com/Hasbro-Gaming-Monopoly-Crossing-Horizons/dp/B08TPD82SC/?_encoding=UTF8&pd_rd_w=Pqtds&pf_rd_p=73bed53d-c26a-4b6f-9f1f-9a110b0ac840&pf_rd_r=5F22YQBS180N0NQ9DBA8&pd_rd_r=d0e36cc4-d651-4e08-93c4-c6626cbb2fef&pd_rd_wg=hWUbA&ref_=pd_gw_unk,19.8,19.8,
24,25,2021-10-20 20:56:18,Battleship With Planes Strategy Board Game For Ages 7 and Up,https://www.amazon.com/dp/B06Y1N3PTX/ref=sspa_dk_detail_6?psc=1p13NParams&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFWVjdYT0NHMVJKN0cmZW5jcnlwdGVkSWQ9QTA1Mjc3MjIxTkwyRVo3RlRCVElLJmVuY3J5cHRlZEFkSWQ9QTA4NDI3MThFQ0lUNk44UjJIRkEmd2lkZ2V0TmFtZT1zcF9kZXRhaWwyJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,16.99,16.99,
