,ind,id,timestp,url,curr_price
0,1,1,2021-10-16 21:10:53,https://www.amazon.com/dp/B0919XS2W7,49.0
1,2,1,2021-10-16 21:11:23,https://www.amazon.com/dp/B0919XS2W7,49.0
2,3,1,2021-10-16 21:11:53,https://www.amazon.com/dp/B0919XS2W7,49.0
3,4,1,2021-10-16 21:12:23,https://www.amazon.com/dp/B0919XS2W7,49.0
4,5,1,2021-10-16 21:12:53,https://www.amazon.com/dp/B0919XS2W7,49.0
5,6,1,2021-10-16 21:13:22,https://www.amazon.com/dp/B0919XS2W7,49.0
6,7,1,2021-10-16 21:13:53,https://www.amazon.com/dp/B0919XS2W7,49.0
7,8,1,2021-10-16 21:14:23,https://www.amazon.com/dp/B0919XS2W7,49.0
8,9,1,2021-10-16 21:14:53,https://www.amazon.com/dp/B0919XS2W7,49.0
9,10,1,2021-10-16 21:15:23,https://www.amazon.com/dp/B0919XS2W7,49.0
10,11,2,2021-10-16 21:15:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
11,12,1,2021-10-16 21:15:53,https://www.amazon.com/dp/B0919XS2W7,49.0
12,13,2,2021-10-16 21:15:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
13,14,1,2021-10-16 21:16:23,https://www.amazon.com/dp/B0919XS2W7,49.0
14,15,2,2021-10-16 21:16:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
15,16,1,2021-10-16 21:16:53,https://www.amazon.com/dp/B0919XS2W7,49.0
16,17,2,2021-10-16 21:16:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
17,18,1,2021-10-16 21:17:23,https://www.amazon.com/dp/B0919XS2W7,49.0
18,19,2,2021-10-16 21:17:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
19,20,1,2021-10-16 21:17:53,https://www.amazon.com/dp/B0919XS2W7,49.0
20,21,2,2021-10-16 21:17:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
21,22,1,2021-10-16 21:20:23,https://www.amazon.com/dp/B0919XS2W7,49.0
22,23,2,2021-10-16 21:20:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
23,24,1,2021-10-16 21:20:53,https://www.amazon.com/dp/B0919XS2W7,49.0
24,25,2,2021-10-16 21:20:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
25,26,1,2021-10-16 21:21:23,https://www.amazon.com/dp/B0919XS2W7,49.0
26,27,2,2021-10-16 21:21:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
27,28,1,2021-10-16 21:21:53,https://www.amazon.com/dp/B0919XS2W7,49.0
28,29,2,2021-10-16 21:21:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
29,30,1,2021-10-16 21:22:23,https://www.amazon.com/dp/B0919XS2W7,49.0
30,31,2,2021-10-16 21:22:23,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
31,32,1,2021-10-16 21:22:53,https://www.amazon.com/dp/B0919XS2W7,49.0
32,33,2,2021-10-16 21:22:53,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,254.99
33,34,1,2021-10-17 19:38:44,https://www.amazon.com/dp/B0919XS2W7,49.0
34,35,2,2021-10-17 19:38:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
35,36,1,2021-10-17 19:48:44,https://www.amazon.com/dp/B0919XS2W7,49.0
36,37,2,2021-10-17 19:48:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
37,38,1,2021-10-17 19:58:44,https://www.amazon.com/dp/B0919XS2W7,49.0
38,39,2,2021-10-17 19:58:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
39,40,3,2021-10-17 19:58:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
40,41,1,2021-10-17 20:08:45,https://www.amazon.com/dp/B0919XS2W7,49.0
41,42,2,2021-10-17 20:08:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
42,43,3,2021-10-17 20:08:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
43,44,1,2021-10-17 20:18:44,https://www.amazon.com/dp/B0919XS2W7,49.0
44,45,2,2021-10-17 20:18:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
45,46,3,2021-10-17 20:18:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
46,47,1,2021-10-17 20:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
47,48,2,2021-10-17 20:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
48,49,3,2021-10-17 20:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
49,50,1,2021-10-17 20:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
50,51,2,2021-10-17 20:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
51,52,3,2021-10-17 20:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
52,53,1,2021-10-17 20:48:44,https://www.amazon.com/dp/B0919XS2W7,49.0
53,54,2,2021-10-17 20:48:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
54,55,3,2021-10-17 20:48:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
55,56,1,2021-10-17 20:58:44,https://www.amazon.com/dp/B0919XS2W7,49.0
56,57,2,2021-10-17 20:58:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
57,58,3,2021-10-17 20:58:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
58,59,1,2021-10-17 21:08:44,https://www.amazon.com/dp/B0919XS2W7,49.0
59,60,2,2021-10-17 21:08:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
